CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Canal_Divulgacao;Sigla_UF
44.854.238/0001-50;2025-01-01;1;144610;Parsan S.A.;https://www.ibri.com.br/pt-br/rede-de-divulgacao/?id=261149/;SP
45.242.914/0001-05;2025-01-01;1;149340;C&A Modas S.A.;https://www.ri.cea.com.br/;SP
45.242.914/0001-05;2025-01-01;1;149340;C&A Modas S.A.;Jornal Gazeta de São Paulo;SP
45.242.914/0001-05;2025-01-01;1;149340;C&A Modas S.A.;Site sistemas.cvm.gov.br;SP
45.365.558/0001-09;2025-01-01;2;149904;VITTIA S.A.;Gazeta de São Paulo;SP
45.365.558/0001-09;2025-01-01;2;149904;VITTIA S.A.;https://ri.vittia.com.br/;SP
45.365.558/0001-09;2025-01-01;2;149904;VITTIA S.A.;https://www.solutions-ir.com/documentos;SP
45.453.214/0001-51;2025-01-01;1;145669;PROFARMA DISTRIB PROD FARMACEUTICOS S.A.;Valor Econômico;RJ
45.453.214/0001-51;2025-01-01;1;145669;PROFARMA DISTRIB PROD FARMACEUTICOS S.A.;Valor Econômico;SP
45.456.117/0001-12;2025-01-01;1;148742;Águas do Sertão S.A.;Tribuna Independente;AL
45.736.131/0001-70;2025-01-01;1;149209;Unidas Locadora S.A.;Jornal Diário do Comércio de Belo Horizonte;MG
45.987.245/0001-92;2025-01-01;3;149316;BIOMA EDUCAÇÃO S.A.;O Dia;SP
45.987.245/0001-92;2025-01-01;3;149316;BIOMA EDUCAÇÃO S.A.;Website da Companhia;SP
46.119.855/0001-37;2025-01-01;1;145827;SOCIEDADE ABASTECIMENTO DE ÁGUA E SANEAMENTO S.A - SANASA;Correio Popular (Campinas);SP
46.119.855/0001-37;2025-01-01;1;145827;SOCIEDADE ABASTECIMENTO DE ÁGUA E SANEAMENTO S.A - SANASA;Diário Oficial do Estado de São Paulo;SP
46.119.855/0001-37;2025-01-01;1;145827;SOCIEDADE ABASTECIMENTO DE ÁGUA E SANEAMENTO S.A - SANASA;Diário Oficial do Município de Campinas;SP
46.573.272/0001-81;2025-01-01;1;148637;Porto Saúde Participações S.A.;O Estado de São Paulo;SP
47.508.411/0001-56;2025-01-01;2;150157;CIA BRASILEIRA DE DISTRIBUICAO;Folha de São Paulo;SP
47.508.411/0001-56;2025-01-01;2;150157;CIA BRASILEIRA DE DISTRIBUICAO;www.gpari.com.br;SP
47.509.120/0001-82;2025-01-01;2;151221;BRADESCO LEASING S.A. ARREND MERCANTIL;Valor Econômico;SP
47.586.663/0001-01;2025-01-01;4;150290;NOVA SOCIEDADE DE NAVEGAÇÃO S.A.;Diario Comercial, www.diariocomercial.com.br;RJ
47.586.663/0001-01;2025-01-01;4;150290;NOVA SOCIEDADE DE NAVEGAÇÃO S.A.;https://www.portalneo1.net/;RJ
47.815.827/0001-17;2025-01-01;2;150640;CAMINHOS DA SERRA GAUCHA S/A;Correio do Povo;RS
47.815.827/0001-17;2025-01-01;2;150640;CAMINHOS DA SERRA GAUCHA S/A;Diário Oficial;RS
47.960.950/0001-21;2025-01-01;1;149020;MAGAZINE LUIZA S.A.;https://ri.magazineluiza.com.br/;SP
47.960.950/0001-21;2025-01-01;1;149020;MAGAZINE LUIZA S.A.;Sistema Empresas.NET;SP
47.960.950/0001-21;2025-01-01;1;149020;MAGAZINE LUIZA S.A.;Valor Econômico;SP
48.127.008/0001-40;2025-01-01;1;148515;Concessionária Rodovias do Sul de Minas SPE S.A.;Diário Oficial do Estado de Minas Gerais;MG
48.127.008/0001-40;2025-01-01;1;148515;Concessionária Rodovias do Sul de Minas SPE S.A.;Jornal hoje em dia;MG
48.127.012/0001-08;2025-01-01;1;148688;Concessionária Rodovias do Triângulo SPE S.A.;Diário Oficial do Estado de Minas Gerais;MG
48.127.012/0001-08;2025-01-01;1;148688;Concessionária Rodovias do Triângulo SPE S.A.;Jornal hoje em dia;MG
48.710.127/0001-20;2025-01-01;2;150110;SPE Novo Norte Aeroportos S.A;"Jornal Amazônia";PA
48.710.127/0001-20;2025-01-01;2;150110;SPE Novo Norte Aeroportos S.A;https://noa-airports.com.br/;PA
48.851.242/0001-15;2025-01-01;1;145397;CONCESSIONARIA DAS RODOVIAS DO LESTE MS S/A;Correio do Estado;MS
48.851.242/0001-15;2025-01-01;1;145397;CONCESSIONARIA DAS RODOVIAS DO LESTE MS S/A;www.way112.com.br;MS
49.115.815/0001-05;2025-01-01;3;150833;JBS N.V.;https://ri.jbs.com.br/;SP
49.263.189/0001-02;2025-01-01;1;149828;HELBOR EMPREENDIMENTOS S.A.;O Estado de São Paulo;SP
49.263.189/0001-02;2025-01-01;1;149828;HELBOR EMPREENDIMENTOS S.A.;www.ri.helbor.com.br;SP
49.314.049/0001-08;2025-01-01;2;147243;Concessionária de Rodovias Noroeste Paulista S.A;Jornal Dhoje Interior;SP
49.669.856/0001-43;2025-01-01;2;144843;VESTE S.A. ESTILO;Valor Econômico;SP
50.399.553/0001-37;2025-01-01;2;144766;Concessionária Rodoanel Norte SPE S.A.;Folha de São Paulo;SP
50.564.053/0001-03;2025-01-01;2;144858;BOMBRIL S.A. - Em recuperação Judicial;Diário do Grande ABC (Região do ABC);SP
50.746.577/0001-15;2025-01-01;2;146841;COSAN S.A.;https://estadaori.estadao.com.br/publicacoes/;SP
50.746.577/0001-15;2025-01-01;2;146841;COSAN S.A.;O Estado de São Paulo;SP
50.926.955/0001-42;2025-01-01;1;145279;VULCABRAS S.A.;Diário Oficial do Estado de São Paulo;SP
50.926.955/0001-42;2025-01-01;1;145279;VULCABRAS S.A.;https://portal.mzgroup.com;SP
50.926.955/0001-42;2025-01-01;1;145279;VULCABRAS S.A.;Jornal Valor Econômico;SP
50.926.955/0001-42;2025-01-01;1;145279;VULCABRAS S.A.;Site B3 | www.b3.com.br;SP
50.926.955/0001-42;2025-01-01;1;145279;VULCABRAS S.A.;Site CVM | www.cvm.gov.br;SP
50.926.955/0001-42;2025-01-01;1;145279;VULCABRAS S.A.;Site Vulcabras S/A | www.vulcabrasri.com;SP
51.128.999/0001-90;2025-01-01;2;146203;NUTRIPLANT INDUSTRIA E COMERCIO S.A.;http://economia.estadao.com.br/fatos-relevantes;SP
51.128.999/0001-90;2025-01-01;2;146203;NUTRIPLANT INDUSTRIA E COMERCIO S.A.;Jornal Diário Comercial;SP
51.128.999/0001-90;2025-01-01;2;146203;NUTRIPLANT INDUSTRIA E COMERCIO S.A.;www.ri.nutriplant.com.br;SP
51.136.974/0001-38;2025-01-01;1;148618;EPR Infraestrutura PR S.A.;Jornal Data Mercantil;SP
51.137.031/0001-20;2025-01-01;1;148613;EPR Litoral Pioneiro S.A.;Jornal Data Mercantil;SP
51.218.147/0001-93;2025-01-01;1;148950;IGUATEMI EMPRESA DE SHOPPING CENTERS S.A;www.diariodenoticias.com.br;SP
51.430.503/0001-38;2025-01-01;2;149492;Porto Serviço S.A;O Estado de São Paulo;SP
51.466.860/0001-56;2025-01-01;2;150579;SAO MARTINHO S.A.;https://valor.globo.com/empresas/valor-empresas-360/sao-martinho/;SP
51.466.860/0001-56;2025-01-01;2;150579;SAO MARTINHO S.A.;Valor Econômico;SP
51.466.860/0001-56;2025-01-01;2;150579;SAO MARTINHO S.A.;www.saomartinho.com.br/ri;SP
51.742.485/0001-20;2025-01-01;1;148517;Concessionária Rodovias do Café SPE S.A.;Diário Oficial do Estado de Minas Gerais;MG
51.742.485/0001-20;2025-01-01;1;148517;Concessionária Rodovias do Café SPE S.A.;Jornal hoje em dia;MG
51.928.174/0001-50;2025-01-01;2;150631;PLASCAR PARTICIPACOES INDUSTRIAIS S.A.;Valor Econômico;SP
52.017.473/0001-03;2025-01-01;2;144829;Azevedo & Travassos Energia S.A.;O Dia;SP
52.270.350/0001-71;2025-01-01;5;149214;CIABRASF - Cia. Brasileira de Serviços Financeiros S.A.;https://ri.ciabrasf.com.br/central-de-resultados;SP
52.270.350/0001-71;2025-01-01;5;149214;CIABRASF - Cia. Brasileira de Serviços Financeiros S.A.;Jornal - Diário Comercial;SP
52.475.549/0001-36;2025-01-01;4;151672;REAG WEALTH MANAGEMENT S.A.;https://ri.reagwealth.com.br/documentos;SP
52.548.435/0001-79;2025-01-01;1;148900;JSL S.A.;O Estado de S. Paulo;SP
52.548.435/0001-79;2025-01-01;1;148900;JSL S.A.;www.jsl.com.br;SP
52.805.925/0001-03;2025-01-01;12;151869;Belora RDVC City Desenvolvimento Imobiliário S.A.;https://ri.belorarealty.com.br/central-de-resultados;SP
52.810.883/0001-07;2025-01-01;4;149902;REVEE MCO S.A.;https://ri.reagasset.com.br/documentos;SP
52.841.191/0001-18;2025-01-01;9;151516;REVEE S.A.;https://ri.revee.com.br/;SP
53.113.791/0001-22;2025-01-01;1;148947;TOTVS S.A.;https://ri.totvs.com/;SP
53.113.791/0001-22;2025-01-01;1;148947;TOTVS S.A.;https://valor.globo.com/valor-ri/;SP
53.113.791/0001-22;2025-01-01;1;148947;TOTVS S.A.;Valor Econômico;SP
53.153.938/0001-08;2025-01-01;2;150558;Cobasi Comércio de Produtos Básicos e Industrializados S.A.;Diário Comercial;SP
55.231.969/0001-65;2025-01-01;2;150091;EPR Via Mineira S.A.;Diário do Comércio;MG
56.444.250/0001-75;2025-01-01;2;148303;HAUSCENTER SA;Diário de Notícias de São Paulo;SP
56.643.018/0001-66;2025-01-01;1;144054;EUCATEX S.A. INDUSTRIA E COMERCIO;Diario Oficial do Estado de São Paulo;SP
56.643.018/0001-66;2025-01-01;1;144054;EUCATEX S.A. INDUSTRIA E COMERCIO;Valor Econômico;SP
56.643.018/0001-66;2025-01-01;1;144054;EUCATEX S.A. INDUSTRIA E COMERCIO;www.valor.com.br/fatosrelevantes;SP
56.720.428/0001-63;2025-01-01;1;144146;ROMI S.A.;https://estadaori.estadao.com.br/publicacoes/;SP
56.720.428/0001-63;2025-01-01;1;144146;ROMI S.A.;O Estado de S. Paulo;SP
56.992.423/0001-90;2025-01-01;1;148311;BICICLETAS MONARK S.A.;Site sistemas.cvm.gov.br;SP
56.992.423/0001-90;2025-01-01;1;148311;BICICLETAS MONARK S.A.;Site www.b3.com.br;SP
56.992.423/0001-90;2025-01-01;1;148311;BICICLETAS MONARK S.A.;www.monark.com.br;SP
58.070.452/0001-20;2025-01-01;3;149698;Iguá Sergipe S.A.;Jornal da Cidade - Aracaju;SE
58.070.452/0001-20;2025-01-01;3;149698;Iguá Sergipe S.A.;Jornal Valor Econômico;SE
58.070.452/0001-20;2025-01-01;3;149698;Iguá Sergipe S.A.;Site de Relações com Investidores (www.ri.igua.com.br);SE
58.119.199/0001-51;2025-01-01;1;146977;ODONTOPREV S.A.;http://www.valor.com.br/valor-ri/fatos-relevantes;SP
58.119.199/0001-51;2025-01-01;1;146977;ODONTOPREV S.A.;Valor Econômico;SP
58.119.199/0001-51;2025-01-01;1;146977;ODONTOPREV S.A.;www.mziq.com;SP
58.119.199/0001-51;2025-01-01;1;146977;ODONTOPREV S.A.;www.odontoprev.com.br/ri;SP
58.119.199/0001-51;2025-01-01;1;146977;ODONTOPREV S.A.;www.portalneo1.net;SP
58.430.828/0001-60;2025-01-01;1;144457;Blau Farmacêutica S.A.;Diário Comercial;SP
58.430.828/0001-60;2025-01-01;1;144457;Blau Farmacêutica S.A.;ri.blau.com;SP
59.105.999/0001-86;2025-01-01;2;151488;WHIRLPOOL S.A.;Valor Econômico;SP
59.196.897/0001-13;2025-01-01;2;151574;Concessionária de Rodovias PRVias S.A.;https://rodovias.motiva.com.br/prvias/;PR
59.196.897/0001-13;2025-01-01;2;151574;Concessionária de Rodovias PRVias S.A.;Jornal "Folha de Londrina";PR
59.285.411/0001-13;2025-01-01;1;148662;BCO PAN S.A.;Diário Oficial do Estado;SP
59.285.411/0001-13;2025-01-01;1;148662;BCO PAN S.A.;Valor Econômico;SP
59.285.411/0001-13;2025-01-01;1;148662;BCO PAN S.A.;www.valor.com.br/valor-ri/fatos-relevantes;SP
59.418.806/0001-47;2025-01-01;1;148188;TRACK & FIELD CO S.A.;Diário Comercial;SP
59.418.806/0001-47;2025-01-01;1;148188;TRACK & FIELD CO S.A.;https://diariocomercial.com.br/;SP
59.418.806/0001-47;2025-01-01;1;148188;TRACK & FIELD CO S.A.;www.tfco.com.br/ri/;SP
59.546.515/0001-34;2025-01-01;2;150088;Fisia Comércio de Produtos Esportivos S.A.;https://www.jornalodiasp.com.br/;SP
59.546.515/0001-34;2025-01-01;2;150088;Fisia Comércio de Produtos Esportivos S.A.;O Dia;SP
59.546.515/0001-34;2025-01-01;2;150088;Fisia Comércio de Produtos Esportivos S.A.;www.portalneo1.net;BR
59.693.110/0001-29;2025-01-01;3;151845;CURSINHO INTERGRAUS S.A;O Dia;SP
59.693.110/0001-29;2025-01-01;3;151845;CURSINHO INTERGRAUS S.A;Website da Companhia;SP
59.717.553/0001-02;2025-01-01;1;146709;GRUPO MULTI S.A.;Data Mercantil;SP
59.789.545/0001-71;2025-01-01;2;149438;POLPAR S.A.;https://estadaori.estadao.com.br/empresa/polpar-sa/;SP
59.789.545/0001-71;2025-01-01;2;149438;POLPAR S.A.;O Estado de São Paulo;SP
59.981.829/0001-65;2025-01-01;1;146489;Rodobens SA;ri.rodobens.com.br;SP
60.398.369/0004-79;2025-01-01;1;144517;PARANAPANEMA S.A. - EM RECUPERAÇÃO JUDICIAL;Folha de São Paulo (Edição Nacional);SP
60.398.369/0004-79;2025-01-01;1;144517;PARANAPANEMA S.A. - EM RECUPERAÇÃO JUDICIAL;ri.paranapanema.com.br;SP
60.444.437/0001-46;2025-01-01;1;149912;LIGHT SERVICOS DE ELETRICIDADE S.A.;Jornal Diário Comercial;RJ
60.444.437/0001-46;2025-01-01;1;149912;LIGHT SERVICOS DE ELETRICIDADE S.A.;Portal NEO1 - www.portalneo1.net;RJ
60.444.437/0001-46;2025-01-01;1;149912;LIGHT SERVICOS DE ELETRICIDADE S.A.;Website CVM - www.cvm.gov.br;RJ
60.444.437/0001-46;2025-01-01;1;149912;LIGHT SERVICOS DE ELETRICIDADE S.A.;Website Diário Comercial - www.diariocomercial.com.br;RJ
60.444.437/0001-46;2025-01-01;1;149912;LIGHT SERVICOS DE ELETRICIDADE S.A.;Website Light - www.light.com.br/ri;RJ
60.476.884/0001-87;2025-01-01;1;145358;MAHLE METAL LEVE S.A.;Gazeta Guaçuana;SP
60.537.263/0001-66;2025-01-01;1;145453;ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.;https://ri.estapar.com.br/;SP
60.537.263/0001-66;2025-01-01;1;145453;ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.;https://www.gov.br/cvm/pt-br;SP
60.537.263/0001-66;2025-01-01;1;145453;ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.;Jornal "Diário Comercial";SP
60.537.263/0001-66;2025-01-01;1;145453;ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.;www.b3.com.br;SP
60.543.816/0001-93;2025-01-01;1;148942;IGUATEMI S.A.;www.diariodenoticias.com.br;SP
60.651.809/0001-05;2025-01-01;1;148012;SUZANO HOLDING S.A.;https://economia.estadao.com.br/fatos-relevantes;SP
60.651.809/0001-05;2025-01-01;1;148012;SUZANO HOLDING S.A.;https://estadaori.estadao.com.br/empresa/suzano-holding-sa/;SP
60.665.981/0001-18;2025-01-01;1;149080;União Química Farmacêutica Nacional S.A.;https://ri.uniaoquimica.com.br;SP
60.665.981/0001-18;2025-01-01;1;149080;União Química Farmacêutica Nacional S.A.;Jornal o Dia SP;SP
60.665.981/0001-18;2025-01-01;1;149080;União Química Farmacêutica Nacional S.A.;Portal MZ Group;SP
60.730.348/0001-66;2025-01-01;1;144599;CIA MELHORAMENTOS DE SAO PAULO;www.melhoramentos.com.br;SP
60.746.948/0001-12;2025-01-01;1;148197;BCO BRADESCO S.A.;Valor Econômico;SP
60.840.055/0001-31;2025-01-01;1;144117;FLEURY S.A.;https://ri.fleury.com.br/;SP
60.840.055/0001-31;2025-01-01;1;144117;FLEURY S.A.;Valor Econômico;SP
60.840.055/0001-31;2025-01-01;1;144117;FLEURY S.A.;www.valor.com.br/fatosrelevantes;SP
60.851.615/0001-53;2025-01-01;1;146167;BARDELLA S.A. INDUSTRIAS MECANICAS EM RECUPERAÇÃO JUDICIAL;Folha Metropolitana de Guarulhos;SP
60.872.504/0001-23;2025-01-01;1;145293;ITAU UNIBANCO HOLDING S.A.;https://estadaori.estadao.com.br/publicacoes/;SP
60.872.504/0001-23;2025-01-01;1;145293;ITAU UNIBANCO HOLDING S.A.;https://prnewswire.com.br;SP
60.872.504/0001-23;2025-01-01;1;145293;ITAU UNIBANCO HOLDING S.A.;O Estado de São Paulo;SP
60.884.319/0001-59;2025-01-01;1;147839;NORDON INDUSTRIAS METALURGICAS S.A.;Jornal Valor Econômico SP;SP
60.894.730/0001-05;2025-01-01;1;144814;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;Diário do Comércio;MG
60.933.603/0001-78;2025-01-01;2;150872;CESP - CIA ENERGETICA DE SAO PAULO;Diário Comercial (https://diariocomercial.com.br/publicidade-legal/);SP
61.065.298/0001-02;2025-01-01;3;147968;MANGELS INDUSTRIAL S.A.;Diário do Comércio;MG
61.065.298/0001-02;2025-01-01;3;147968;MANGELS INDUSTRIAL S.A.;Jornal Empresas & Negócios;SP
61.065.298/0001-02;2025-01-01;3;147968;MANGELS INDUSTRIAL S.A.;Jornal Três;MG
61.065.751/0001-80;2025-01-01;3;150575;ROSSI RESIDENCIAL S.A. - EM RECUPERAÇÃO JUDICIAL;Folha de São Paulo;SP
61.065.751/0001-80;2025-01-01;3;150575;ROSSI RESIDENCIAL S.A. - EM RECUPERAÇÃO JUDICIAL;Site de Relações com Investidores - http://ri.rossiresidencial.com.br;SP
61.079.117/0001-05;2025-01-01;1;147277;ALPARGATAS S.A.;Site RI - ri.alpargatas.com.br;SP
61.079.117/0001-05;2025-01-01;1;147277;ALPARGATAS S.A.;Valor Econômico;SP
61.079.117/0001-05;2025-01-01;1;147277;ALPARGATAS S.A.;Valor Econômico - Site;SP
61.080.313/0001-91;2025-01-01;1;147769;COBRASMA S.A.;Diário da Região;SP
61.080.313/0001-91;2025-01-01;1;147769;COBRASMA S.A.;Diário da Região;SP
61.080.313/0001-91;2025-01-01;1;147769;COBRASMA S.A.;Diário Oficial do Estado;SP
61.080.313/0001-91;2025-01-01;1;147769;COBRASMA S.A.;Diário Oficial do Estado;SP
61.082.004/0001-50;2025-01-01;1;149928;MANUFATURA DE BRINQUEDOS ESTRELA S.A.;Gazeta de São Paulo;SP
61.088.894/0001-08;2025-01-01;1;145580;CAMBUCI S.A.;ri@cambuci.com.br;SP
61.092.037/0001-81;2025-01-01;3;150616;ETERNIT S.A.;Site B3 | www.b3.com.br;SP
61.092.037/0001-81;2025-01-01;3;150616;ETERNIT S.A.;Site CVM | www.cvm.gov.br;SP
61.092.037/0001-81;2025-01-01;3;150616;ETERNIT S.A.;Site Eternit S/A | ri.eternit.com.br;SP
61.092.037/0001-81;2025-01-01;3;150616;ETERNIT S.A.;Valor Econômico;SP
61.156.113/0001-75;2025-01-01;1;146941;IOCHPE MAXION S.A.;https://valor.globo.com/empresas/valor-empresas-360/fatos-relevantes/;SP
61.156.113/0001-75;2025-01-01;1;146941;IOCHPE MAXION S.A.;Valor Econômico;SP
61.156.113/0001-75;2025-01-01;1;146941;IOCHPE MAXION S.A.;www.iochpe.com.br;BR
61.156.931/0001-78;2025-01-01;3;148360;ALIPERTI S.A.;Jornal Empresas e Negócios;SP
61.156.931/0001-78;2025-01-01;3;148360;ALIPERTI S.A.;www.aliperti.com.br;SP
61.186.680/0001-74;2025-01-01;1;148239;BANCO BMG S/A;Empresas & Negócios;SP
61.189.288/0001-89;2025-01-01;2;149234;MARISA LOJAS S.A.;Site de RI da Companhia:  ri.marisa.com.br;SP
61.189.288/0001-89;2025-01-01;2;149234;MARISA LOJAS S.A.;Valor Econômico: https://valor.globo.com/;SP
61.190.096/0001-92;2025-01-01;4;150821;EUROFARMA LABORATÓRIOS S.A.;https://valor.globo.com/valor-ri/empresa/eurofarma/;SP
61.190.096/0001-92;2025-01-01;4;150821;EUROFARMA LABORATÓRIOS S.A.;ri.eurofarma.com.br;SP
61.190.096/0001-92;2025-01-01;4;150821;EUROFARMA LABORATÓRIOS S.A.;Valor Econômico (Edição Nacional);SP
61.351.532/0001-68;2025-01-01;2;148927;AZEVEDO E TRAVASSOS S.A.;O Dia;SP
61.374.161/0001-30;2025-01-01;1;148380;BAUMER S.A.;Empresas.Net;SP
61.374.161/0001-30;2025-01-01;1;148380;BAUMER S.A.;www.baumer.com.br;SP
61.409.892/0001-73;2025-01-01;2;150546;COMPANHIA BRASILEIRA DE ALUMÍNIO;O Dia;SP
61.486.650/0001-83;2025-01-01;1;146162;DIAGNOSTICOS DA AMERICA S.A.;Diário de Notícias;SP
61.486.650/0001-83;2025-01-01;1;146162;DIAGNOSTICOS DA AMERICA S.A.;http://www.diariodenoticias.com.br/publicidade-legal;SP
61.532.644/0001-15;2025-01-01;1;148913;ITAÚSA S.A.;https://estadaori.estadao.com.br/publicacoes/;SP
61.532.644/0001-15;2025-01-01;1;148913;ITAÚSA S.A.;O Estado de São Paulo;SP
61.532.644/0001-15;2025-01-01;1;148913;ITAÚSA S.A.;www.rededivulgacao.com.br;SP
