Status do Arquivo: Final
RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;OscnPctg;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty;NtlFinVol
2025-09-15;A1NE34;BRA1NEBDR008;CASH;;;193,08;;;;;;1;11;2123,88
2025-09-15;A1PH34;BRA1PHBDR006;CASH;;;328,94;;;;;;2;7;2302,6
2025-09-15;A1PP34;BRA1PPBDR009;CASH;;;98,65;;;;;;1;15;1479,75
2025-09-15;AAPL34;BRAAPLBDR004;CASH;;;62,77;;;;;;13;4339;272363,49
2025-09-15;AAZQ11;BRAAZQCTF001;CASH;;;7,49;;;;;;4;72;539,28
2025-09-15;ABCB4;BRABCBACNPR4;CASH;;;22,95;;;;;;2;200;4589
2025-09-15;ABCB4F;BRABCBACNPR4;ODD LOT;;;22,92;;;;;;10;109;2498,47
2025-09-15;ABCP11;BRABCPCTF000;CASH;;;80,51;;;;;;1;1;80,51
2025-09-15;ABEV3;BRABEVACNOR1;CASH;;;12,64;;;;;;15;14600;184528
2025-09-15;ABEV3F;BRABEVACNOR1;ODD LOT;;;12,63;;;;;;18;314;3964,62
2025-09-15;ACWI11;BRACWICTF001;CASH;;;15,21;;;;;;11;243;3695,48
2025-09-15;AERI3;BRAERIACNOR4;CASH;;;4,20;;;;;;3;11000;46195
2025-09-15;AERI3F;BRAERIACNOR4;ODD LOT;;;4,16;;;;;;4;13;54,1
2025-09-15;AFHI11;BRAFHICTF005;CASH;;;92,18;;;;;;5;70;6452,72
2025-09-15;AGRO3;BRAGROACNOR7;CASH;;;20,54;;;;;;3;300;6161
2025-09-15;AGRO3F;BRAGROACNOR7;ODD LOT;;;20,55;;;;;;18;108;2219,64
2025-09-15;AGRX11;BRAGRXCTF001;CASH;;;7,96;;;;;;1;7;55,72
2025-09-15;AGXY3;BRAGXYACNOR4;CASH;;;5,77;;;;;;1;100;577
