Status do Arquivo: Final
RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;OscnPctg;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty;NtlFinVol
2025-09-11;A1MD34;BRA1MDBDR002;CASH;;;105,05;;;;;;1;100;10505
2025-09-11;A1NE34;BRA1NEBDR008;CASH;;;206,00;;;;;;1;2;412
2025-09-11;AAPL34;BRAAPLBDR004;CASH;;;61,74;;;;;;9;453;27968,29
2025-09-11;AAZQ11;BRAAZQCTF001;CASH;;;7,37;;;;;;10;607;4472,4
2025-09-11;ABCB4F;BRABCBACNPR4;ODD LOT;;;22,34;;;;;;2;2;44,68
2025-09-11;ABEV3;BRABEVACNOR1;CASH;;;12,52;;;;;;28;31000;388202
2025-09-11;ABEV3F;BRABEVACNOR1;ODD LOT;;;12,53;;;;;;17;221;2770,06
2025-09-11;ACWI11;BRACWICTF001;CASH;;;15,45;;;;;;1;1;15,45
2025-09-11;ADBE34;BRADBEBDR003;CASH;;;38,68;;;;;;33;601;23249,31
2025-09-11;AERI3;BRAERIACNOR4;CASH;;;4,15;;;;;;10;1700;7053
2025-09-11;AERI3F;BRAERIACNOR4;ODD LOT;;;4,15;;;;;;2;28;116,21
2025-09-11;AFHI11;BRAFHICTF005;CASH;;;93,03;;;;;;1;18;1674,54
2025-09-11;AGRO3;BRAGROACNOR7;CASH;;;20,54;;;;;;6;600;12325
2025-09-11;AGRO3F;BRAGROACNOR7;ODD LOT;;;20,55;;;;;;8;54;1109,74
2025-09-11;AGRX11;BRAGRXCTF001;CASH;;;7,92;;;;;;2;13;102,96
2025-09-11;AIEC11;BRAIECCTF009;CASH;;;48,48;;;;;;1;1;48,48
2025-09-11;ALOS3F;BRALOSACNOR5;ODD LOT;;;24,45;;;;;;6;43;1051,17
2025-09-11;ALPA3F;BRALPAACNOR0;ODD LOT;;;10,34;;;;;;3;54;558,36
2025-09-11;ALPA4;BRALPAACNPR7;CASH;;;10,18;;;;;;1;200;2036
2025-09-11;ALPA4F;BRALPAACNPR7;ODD LOT;;;10,10;;;;;;2;48;484,84
2025-09-11;ALPK3;BRALPKACNOR9;CASH;;;3,10;;;;;;3;1500;4646
2025-09-11;ALUP11F;BRALUPCDAM15;ODD LOT;;;30,60;;;;;;1;10;306
2025-09-11;ALUP3F;BRALUPACNOR8;ODD LOT;;;10,75;;;;;;1;18;193,5
2025-09-11;ALUP4F;BRALUPACNPR5;ODD LOT;;;9,99;;;;;;1;1;9,99
2025-09-11;ALZC11;BRALZCCTF016;CASH;;;7,63;;;;;;2;103;785,9
2025-09-11;ALZR11;BRALZRCTF006;CASH;;;10,42;;;;;;14;1022;10649,03
2025-09-11;AMAR3;BRAMARACNOR4;CASH;;;1,30;;;;;;2;400;518
2025-09-11;AMAR3F;BRAMARACNOR4;ODD LOT;;;1,28;;;;;;1;2;2,56
2025-09-11;AMBP3;BRAMBPACNOR6;CASH;;;12,41;;;;;;5;2800;34735
2025-09-11;AMBP3F;BRAMBPACNOR6;ODD LOT;;;12,39;;;;;;5;100;1239,2
2025-09-11;AMER3;BRAMERACNOR6;CASH;;;6,75;;;;;;21;30200;203734
2025-09-11;AMER3F;BRAMERACNOR6;ODD LOT;;;6,78;;;;;;2;20;135,6
2025-09-11;AMOB3;BRAMOBACNOR9;CASH;;;12,96;;;;;;2;300;3888
2025-09-11;AMOB3F;BRAMOBACNOR9;ODD LOT;;;12,91;;;;;;9;230;2970,21
2025-09-11;AMZO34;BRAMZOBDR002;CASH;;;61,97;;;;;;14;1482;91835,35
2025-09-11;ANIM3;BRANIMACNOR6;CASH;;;3,52;;;;;;6;2400;8438
2025-09-11;ANIM3F;BRANIMACNOR6;ODD LOT;;;3,46;;;;;;1;1;3,46
2025-09-11;ARML3;BRARMLACNOR1;CASH;;;3,86;;;;;;6;2600;10039
2025-09-11;ARRI11;BRARRICTF009;CASH;;;6,56;;;;;;3;7;45,92
2025-09-11;ASAI3;BRASAIACNOR0;CASH;;;9,87;;;;;;25;22900;225956
2025-09-11;ASAI3F;BRASAIACNOR0;ODD LOT;;;9,88;;;;;;7;111;1096,5
2025-09-11;ASML34;BRASMLBDR003;CASH;;;78,77;;;;;;1;72;5671,44
2025-09-11;AURA33;BRAURABDR001;CASH;;;59,45;;;;;;38;2197;130614,72
2025-09-11;AURE3;BRAUREACNOR9;CASH;;;10,64;;;;;;9;3300;35120
2025-09-11;AURE3F;BRAUREACNOR9;ODD LOT;;;10,65;;;;;;15;161;1714,69
2025-09-11;AURO11;BRAUROCTF001;CASH;;;103,90;;;;;;2;41;4259,9
2025-09-11;AVGO34;BRAVGOBDR003;CASH;;;27,74;;;;;;3;276;7656,95
2025-09-11;AVLL3;BRAVLLACNOR5;CASH;;;1,73;;;;;;1;100;173
2025-09-11;AZEV3;BRAZEVACNOR0;CASH;;;0,45;;;;;;5;46200;20790
2025-09-11;AZEV3F;BRAZEVACNOR0;ODD LOT;;;0,46;;;;;;1;1;0,46
2025-09-11;AZEV4;BRAZEVACNPR7;CASH;;;0,50;;;;;;9;16600;8301
2025-09-11;AZEV4F;BRAZEVACNPR7;ODD LOT;;;0,50;;;;;;8;149;74,5
2025-09-11;AZIN11;BRAZINCTF019;CASH;;;100,45;;;;;;4;108;10848,48
2025-09-11;AZPL11;BRAZPLCTF000;CASH;;;7,62;;;;;;2;15;114,32
2025-09-11;AZTE3;BRAZTEACNOR4;CASH;;;0,48;;;;;;3;2400;1152
2025-09-11;AZTE3F;BRAZTEACNOR4;ODD LOT;;;0,48;;;;;;5;88;42,24
2025-09-11;AZUL4;BRAZULACNPR4;CASH;;;1,23;;;;;;102;538400;660002
2025-09-11;AZUL4F;BRAZULACNPR4;ODD LOT;;;1,23;;;;;;18;343;422,55
2025-09-11;AZZA3;BRAZZAACNOR9;CASH;;;32,91;;;;;;8;3200;105321
2025-09-11;AZZA3F;BRAZZAACNOR9;ODD LOT;;;32,87;;;;;;12;145;4765,98
2025-09-11;B1NT34;BRB1NTBDR005;CASH;;;34,70;;;;;;1;50;1735
2025-09-11;B1TI34;BRB1TIBDR005;CASH;;;61,66;;;;;;2;16;986,58
2025-09-11;B3SA3;BRB3SAACNOR6;CASH;;;13,15;;;;;;24;27800;365563
2025-09-11;B3SA3F;BRB3SAACNOR6;ODD LOT;;;13,11;;;;;;27;332;4352,85
2025-09-11;BABA34;BRBABABDR005;CASH;;;29,82;;;;;;10;5752;171501,75
2025-09-11;BAZA3F;BRBAZAACNOR0;ODD LOT;;;79,36;;;;;;1;3;238,08
2025-09-11;BBAS3;BRBBASACNOR3;CASH;;;22,24;;;;;;188;172300;3832181
2025-09-11;BBAS3F;BRBBASACNOR3;ODD LOT;;;22,25;;;;;;200;2535;56406,03
2025-09-11;BBDC3;BRBBDCACNOR1;CASH;;;14,54;;;;;;9;10500;152675
2025-09-11;BBDC3F;BRBBDCACNOR1;ODD LOT;;;14,55;;;;;;16;137;1993,71
2025-09-11;BBDC4;BRBBDCACNPR8;CASH;;;16,99;;;;;;55;33400;567618
2025-09-11;BBDC4F;BRBBDCACNPR8;ODD LOT;;;17,03;;;;;;36;300;5108,69
2025-09-11;BBFO11;BRBBFOCTF004;CASH;;;63,10;;;;;;1;25;1577,5
2025-09-11;BBGO11;BRBBGOCTF002;CASH;;;63,01;;;;;;13;213;13420,46
2025-09-11;BBIG11;BRBBIGCTF004;CASH;;;6,91;;;;;;46;2203;15223,14
2025-09-11;BBOI11;BRBBOICTF008;CASH;;;9,57;;;;;;2;219;2095,83
2025-09-11;BBSE3;BRBBSEACNOR5;CASH;;;32,39;;;;;;27;6000;194334
2025-09-11;BBSE3F;BRBBSEACNOR5;ODD LOT;;;32,41;;;;;;103;852;27612,22
2025-09-11;BCIA11;BRBCIACTF005;CASH;;;85,42;;;;;;92;1522;130014,88
2025-09-11;BCIR39;BRBCIRBDR000;CASH;;;81,30;;;;;;1;15;1219,5
2025-09-11;BCRI11;BRBCRICTF009;CASH;;;63,37;;;;;;1;7;443,59
2025-09-11;BCSA34;BRBCSABDR005;CASH;;;54,15;;;;;;2;13;703,95
2025-09-11;BDIF11;BRBDIFCTF002;CASH;;;76,61;;;;;;12;401;30720,6
2025-09-11;BEEF11F;BRBEEFN03OR6;ODD LOT;;;2,88;;;;;;1;5;14,4
2025-09-11;BEEF3;BRBEEFACNOR6;CASH;;;6,48;;;;;;41;46600;302133
2025-09-11;BEEF3F;BRBEEFACNOR6;ODD LOT;;;6,48;;;;;;18;318;2059,24
2025-09-11;BEES3F;BRBEESACNOR9;ODD LOT;;;8,26;;;;;;4;42;346,92
2025-09-11;BERK34;BRBERKBDR002;CASH;;;133,51;;;;;;2;70;9345,7
2025-09-11;BEST11;BRBESTCTF000;CASH;;;102,09;;;;;;3;27;2756,37
2025-09-11;BEWG39;BRBEWGBDR000;CASH;;;74,58;;;;;;1;10;745,8
2025-09-11;BGIF26;BRBMEFBGI7K6;AGRIBUSINESS;;;;;;327,65;;;;;
2025-09-11;BGIG26;BRBMEFBGI7L4;AGRIBUSINESS;;;;;;329,55;;;;;
2025-09-11;BGIH26;BRBMEFBGI7Q3;AGRIBUSINESS;;;;;;329,6;;;;;
2025-09-11;BGIJ26;BRBMEFBGI7R1;AGRIBUSINESS;;;;;;330,45;;;;;
2025-09-11;BGIK26;BRBMEFBGI7M2;AGRIBUSINESS;;;;;;330,65;;;;;
2025-09-11;BGIM26;BRBMEFBGI7N0;AGRIBUSINESS;;;;;;332,15;;;;;
2025-09-11;BGIN26;BRBMEFBGI7O8;AGRIBUSINESS;;;;;;332,15;;;;;
2025-09-11;BGIQ26;BRBMEFBGI7P5;AGRIBUSINESS;;;;;;333,65;;;;;
2025-09-11;BGIU25;BRBMEFBGI7D1;AGRIBUSINESS;305;305,5;305,21;305;-0,03;305,1;;;5;8;805777,5
2025-09-11;BGIU26;BRBMEFBGI7S9;AGRIBUSINESS;;;;;;332,15;;;;;
2025-09-11;BGIV25;BRBMEFBGI7E9;AGRIBUSINESS;311;311,85;311,38;311;-0,01;311,05;;;53;135;13872012
2025-09-11;BGIX25;BRBMEFBGI7F6;AGRIBUSINESS;319,7;320,45;320,1;319,7;0;319,7;;;10;10;1056330
2025-09-11;BGIZ25;BRBMEFBGI7I0;AGRIBUSINESS;324,25;325,2;325,15;324,25;-0,06;324,45;;;3;221;23713618,5
2025-09-11;BHIA3;BRBHIAACNOR1;CASH;;;4,40;;;;;;40;55500;244187
2025-09-11;BHIA3F;BRBHIAACNOR1;ODD LOT;;;4,38;;;;;;6;17;74,5
2025-09-11;BIAU39;BRBIAUBDR008;CASH;;;92,45;;;;;;2;44;4067,8
2025-09-11;BIDU34;BRBIDUBDR002;CASH;;;43,08;;;;;;1;499;21496,92
2025-09-11;BIED3F;BRBIEDACNOR2;ODD LOT;;;3,20;;;;;;1;41;131,2
2025-09-11;BINC11;BRBINCCTF008;CASH;;;95,54;;;;;;19;475;45383,04
2025-09-11;BIOM3;BRBIOMACNOR2;CASH;;;8,30;;;;;;2;300;2489
2025-09-11;BIOM3F;BRBIOMACNOR2;ODD LOT;;;8,29;;;;;;5;100;829,05
2025-09-11;BITH11;BRBITHCTF004;CASH;;;140,70;;;;;;8;355;49948,14
2025-09-11;BIZD11;BRBIZDCTF000;CASH;;;98,00;;;;;;1;2;196
2025-09-11;BLAK34;BRBLAKBDR003;CASH;;;92,49;;;;;;2;10;924,9
2025-09-11;BLAU3;BRBLAUACNOR8;CASH;;;13,93;;;;;;2;600;8360
2025-09-11;BLMG11;BRBLMGCTF005;CASH;;;33,04;;;;;;9;100;3304,24
2025-09-11;BLOK11;BRBLOKCTF003;CASH;;;245,14;;;;;;4;10;2451,44
2025-09-11;BMEB4;BRBMEBACNPR5;CASH;;;48,01;;;;;;2;300;14402
2025-09-11;BMEB4F;BRBMEBACNPR5;ODD LOT;;;48,09;;;;;;5;72;3462,48
2025-09-11;BMGB10F;BRBMGBR02PR3;ODD LOT;;;3,69;;;;;;2;27;99,63
2025-09-11;BMGB4;BRBMGBACNPR0;CASH;;;3,81;;;;;;8;2000;7618
2025-09-11;BMGB4F;BRBMGBACNPR0;ODD LOT;;;3,81;;;;;;9;44;167,52
2025-09-11;BMOB3;BRBMOBACNOR7;CASH;;;21,11;;;;;;1;100;2111
2025-09-11;BNDX11;BRBNDXCTF005;CASH;;;104,67;;;;;;1;5;523,35
2025-09-11;BNFS11;BRBNFSCTF000;CASH;;;72,59;;;;;;1;20;1451,8
2025-09-11;BOBR4;BRBOBRACNPR3;CASH;;;1,32;;;;;;1;100;132
2025-09-11;BODB11;BRBODBCTF009;CASH;;;7,32;;;;;;23;5804;42464,05
2025-09-11;BOVA11;BRBOVACTF003;CASH;;;140,01;;;;;;128;7017;982445,62
2025-09-11;BPAC11;BRBPACUNT006;CASH;;;46,39;;;;;;10;6900;320092
2025-09-11;BPAC11F;BRBPACUNT006;ODD LOT;;;46,46;;;;;;23;171;7944,01
2025-09-11;BPAC3F;BRBPACACNOR7;ODD LOT;;;25,62;;;;;;7;104;2664,21
2025-09-11;BPAC5;BRBPACACNPA0;CASH;;;10,38;;;;;;2;200;2076
2025-09-11;BPAC5F;BRBPACACNPA0;ODD LOT;;;10,45;;;;;;3;51;533,05
2025-09-11;BPAN4;BRBPANACNPR1;CASH;;;8,12;;;;;;5;3300;26786
