Status do Arquivo: Final
RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;OscnPctg;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty;NtlFinVol
2025-09-16;A1IV34;BRA1IVBDR002;CASH;;;41,44;;;;;;1;1;41,44
2025-09-16;A1MD34;BRA1MDBDR002;CASH;;;105,82;;;;;;1;200;21164
2025-09-16;A1NE34;BRA1NEBDR008;CASH;;;187,43;;;;;;6;170;31862,4
2025-09-16;AALR3;BRAALRACNOR6;CASH;;;6,30;;;;;;1;100;630
2025-09-16;AALR3F;BRAALRACNOR6;ODD LOT;;;6,26;;;;;;6;100;625,57
2025-09-16;AAPL34;BRAAPLBDR004;CASH;;;63,18;;;;;;9;628;39675,06
2025-09-16;AAZQ11;BRAAZQCTF001;CASH;;;7,52;;;;;;5;23;173
2025-09-16;ABCB4;BRABCBACNPR4;CASH;;;22,78;;;;;;2;1200;27332
2025-09-16;ABCB4F;BRABCBACNPR4;ODD LOT;;;22,80;;;;;;7;48;1094,6
2025-09-16;ABCP11;BRABCPCTF000;CASH;;;80,49;;;;;;1;1;80,49
2025-09-16;ABEV3;BRABEVACNOR1;CASH;;;12,74;;;;;;22;12000;152935
2025-09-16;ABEV3F;BRABEVACNOR1;ODD LOT;;;12,71;;;;;;9;71;902,64
2025-09-16;ACNB34;BRACNBBDR006;CASH;;;1.251,18;;;;;;1;1;1251,18
2025-09-16;AERI3;BRAERIACNOR4;CASH;;;4,08;;;;;;42;21800;89018
2025-09-16;AERI3F;BRAERIACNOR4;ODD LOT;;;4,13;;;;;;31;600;2477,36
2025-09-16;AFHI11;BRAFHICTF005;CASH;;;92,06;;;;;;3;60;5523,52
2025-09-16;AGRO3;BRAGROACNOR7;CASH;;;20,61;;;;;;3;300;6183
2025-09-16;AGRO3F;BRAGROACNOR7;ODD LOT;;;20,62;;;;;;9;47;969
2025-09-16;AGXY3;BRAGXYACNOR4;CASH;;;5,77;;;;;;1;100;577
2025-09-16;AIEC11;BRAIECCTF009;CASH;;;49,46;;;;;;2;9;445,17
2025-09-16;AJFI11;BRAJFICTF001;CASH;;;7,85;;;;;;2;185;1452,3
2025-09-16;ALLD3F;BRALLDACNOR3;ODD LOT;;;8,48;;;;;;3;21;178,08
2025-09-16;ALOS3;BRALOSACNOR5;CASH;;;24,88;;;;;;4;700;17417
2025-09-16;ALOS3F;BRALOSACNOR5;ODD LOT;;;24,92;;;;;;4;51;1271,12
2025-09-16;ALPA4;BRALPAACNPR7;CASH;;;10,03;;;;;;4;900;9031
2025-09-16;ALPK3;BRALPKACNOR9;CASH;;;3,14;;;;;;1;100;314
2025-09-16;ALUG11;BRALUGCTF000;CASH;;;41,03;;;;;;2;20;820,6
2025-09-16;ALUP11F;BRALUPCDAM15;ODD LOT;;;30,87;;;;;;5;42;1296,67
2025-09-16;ALUP3F;BRALUPACNOR8;ODD LOT;;;10,94;;;;;;1;9;98,46
