Status do Arquivo: Final
RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;OscnPctg;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty;NtlFinVol
2025-09-18;A1LB34;BRA1LBBDR008;CASH;;;17,86;;;;;;1;2;35,72
2025-09-18;A1MD34;BRA1MDBDR002;CASH;;;104,73;;;;;;5;320;33512,6
2025-09-18;A1PO34;BRA1POBDR002;CASH;;;50,75;;;;;;1;100;5075
2025-09-18;AAPL34;BRAAPLBDR004;CASH;;;63,08;;;;;;7;553;34883,93
2025-09-18;AAZQ11;BRAAZQCTF001;CASH;;;7,59;;;;;;5;896;6800,64
2025-09-18;ABCB4;BRABCBACNPR4;CASH;;;23,13;;;;;;3;400;9252
2025-09-18;ABCB4F;BRABCBACNPR4;ODD LOT;;;23,21;;;;;;7;168;3899,31
2025-09-18;ABCP11;BRABCPCTF000;CASH;;;81,00;;;;;;1;15;1215
2025-09-18;ABEV3;BRABEVACNOR1;CASH;;;12,50;;;;;;11;10100;126205
2025-09-18;ABEV3F;BRABEVACNOR1;ODD LOT;;;12,51;;;;;;16;77;963,19
2025-09-18;AERI3;BRAERIACNOR4;CASH;;;4,15;;;;;;1;100;415
2025-09-18;AERI3F;BRAERIACNOR4;ODD LOT;;;4,09;;;;;;2;13;53,22
2025-09-18;AFHI11;BRAFHICTF005;CASH;;;92,65;;;;;;2;50;4632,51
2025-09-18;AFLT3;BRAFLTACNOR1;CASH;;;7,40;;;;;;1;100;740
2025-09-18;AFLT3F;BRAFLTACNOR1;ODD LOT;;;7,40;;;;;;1;17;125,8
2025-09-18;AGRO3F;BRAGROACNOR7;ODD LOT;;;20,44;;;;;;9;58;1185,42
2025-09-18;AGRX11;BRAGRXCTF001;CASH;;;7,95;;;;;;1;56;445,2
2025-09-18;AIEC11;BRAIECCTF009;CASH;;;50,62;;;;;;3;47;2379,32
2025-09-18;AIRB34;BRAIRBBDR004;CASH;;;33,45;;;;;;2;3;100,35
2025-09-18;AJFI11;BRAJFICTF001;CASH;;;7,90;;;;;;2;3903;30833,74
2025-09-18;ALLD3;BRALLDACNOR3;CASH;;;8,42;;;;;;12;2800;23584
2025-09-18;ALLD3F;BRALLDACNOR3;ODD LOT;;;8,47;;;;;;12;306;2592,11
2025-09-18;ALOS3;BRALOSACNOR5;CASH;;;25,43;;;;;;20;16700;424747
2025-09-18;ALOS3F;BRALOSACNOR5;ODD LOT;;;25,47;;;;;;1;20;509,4
2025-09-18;ALPA3;BRALPAACNOR0;CASH;;;9,88;;;;;;1;200;1976
2025-09-18;ALPA4;BRALPAACNPR7;CASH;;;9,95;;;;;;4;1000;9947
2025-09-18;ALPA4F;BRALPAACNPR7;ODD LOT;;;9,91;;;;;;8;68;674
2025-09-18;ALUG11;BRALUGCTF000;CASH;;;40,91;;;;;;17;916;37469,11
2025-09-18;ALUP11;BRALUPCDAM15;CASH;;;30,52;;;;;;2;200;6103
