Status do Arquivo: Final
RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;OscnPctg;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty;NtlFinVol
2025-09-17;A1MD34;BRA1MDBDR002;CASH;;;105,72;;;;;;154;59500;6290206,66
2025-09-17;A1NE34;BRA1NEBDR008;CASH;;;188,45;;;;;;22;399;75191,81
2025-09-17;AAGR11;BRAAGRCTF017;CASH;;;94,94;;;;;;1;2;189,88
2025-09-17;AALR3;BRAALRACNOR6;CASH;;;6,36;;;;;;3;500;3180
2025-09-17;AALR3F;BRAALRACNOR6;ODD LOT;;;6,37;;;;;;2;65;414,05
2025-09-17;AAPL34;BRAAPLBDR004;CASH;;;63,40;;;;;;10;160;10144,5
2025-09-17;AAZQ11;BRAAZQCTF001;CASH;;;7,52;;;;;;2;2;15,04
2025-09-17;ABCB4;BRABCBACNPR4;CASH;;;23,20;;;;;;1;100;2320
2025-09-17;ABCB4F;BRABCBACNPR4;ODD LOT;;;23,15;;;;;;5;19;439,87
2025-09-17;ABCP11;BRABCPCTF000;CASH;;;80,40;;;;;;2;2;160,79
2025-09-17;ABEV3;BRABEVACNOR1;CASH;;;12,75;;;;;;123;89800;1145165
2025-09-17;ABEV3F;BRABEVACNOR1;ODD LOT;;;12,73;;;;;;31;335;4264,52
2025-09-17;ACWI11;BRACWICTF001;CASH;;;15,14;;;;;;2;2;30,28
2025-09-17;AERI3F;BRAERIACNOR4;ODD LOT;;;4,11;;;;;;4;34;139,6
2025-09-17;AFHI11;BRAFHICTF005;CASH;;;92,71;;;;;;3;26;2410,35
2025-09-17;AGRO3;BRAGROACNOR7;CASH;;;20,58;;;;;;3;300;6175
2025-09-17;AGRO3F;BRAGROACNOR7;ODD LOT;;;20,58;;;;;;21;233;4794,6
2025-09-17;AGRX11;BRAGRXCTF001;CASH;;;7,98;;;;;;1;25;199,5
2025-09-17;AGXY3;BRAGXYACNOR4;CASH;;;5,79;;;;;;2;3000;17370
2025-09-17;AIEC11;BRAIECCTF009;CASH;;;49,95;;;;;;5;301;15033,94
2025-09-17;AJFI11;BRAJFICTF001;CASH;;;7,90;;;;;;16;105;829,83
2025-09-17;ALLD3;BRALLDACNOR3;CASH;;;8,53;;;;;;9;1100;9386
2025-09-17;ALLD3F;BRALLDACNOR3;ODD LOT;;;8,54;;;;;;8;104;887,91
