Status do Arquivo: Final
RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;OscnPctg;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty;NtlFinVol
2025-09-12;AALR3;BRAALRACNOR6;CASH;;;6,00;;;;;;1;100;600
2025-09-12;AAPL34;BRAAPLBDR004;CASH;;;62,74;;;;;;12;1074;67385,01
2025-09-12;AAZQ11;BRAAZQCTF001;CASH;;;7,43;;;;;;1;1;7,43
2025-09-12;ABCB4F;BRABCBACNPR4;ODD LOT;;;22,85;;;;;;2;6;137,12
2025-09-12;ABEV3;BRABEVACNOR1;CASH;;;12,61;;;;;;33;13100;165162
2025-09-12;ABEV3F;BRABEVACNOR1;ODD LOT;;;12,61;;;;;;12;152;1916,28
2025-09-12;AFHI11;BRAFHICTF005;CASH;;;93,34;;;;;;2;60;5600,4
2025-09-12;AGRO3;BRAGROACNOR7;CASH;;;20,56;;;;;;6;3500;71945
2025-09-12;AGRO3F;BRAGROACNOR7;ODD LOT;;;20,55;;;;;;10;105;2158,18
2025-09-12;AGRX11;BRAGRXCTF001;CASH;;;8,03;;;;;;3;3;24,09
2025-09-12;AJFI11;BRAJFICTF001;CASH;;;7,76;;;;;;3;72;558,72
2025-09-12;ALLD3F;BRALLDACNOR3;ODD LOT;;;8,34;;;;;;2;5;41,7
2025-09-12;ALOS3;BRALOSACNOR5;CASH;;;24,61;;;;;;6;1000;24608
2025-09-12;ALOS3F;BRALOSACNOR5;ODD LOT;;;24,45;;;;;;5;32;782,41
2025-09-12;ALPA4;BRALPAACNPR7;CASH;;;9,96;;;;;;5;1000;9963
2025-09-12;ALUP11F;BRALUPCDAM15;ODD LOT;;;30,73;;;;;;1;8;245,84
2025-09-12;ALZR11;BRALZRCTF006;CASH;;;10,52;;;;;;5;52;546,93
2025-09-12;AMBP3;BRAMBPACNOR6;CASH;;;12,72;;;;;;6;1500;19085
2025-09-12;AMBP3F;BRAMBPACNOR6;ODD LOT;;;12,66;;;;;;7;121;1532,35
2025-09-12;AMER3;BRAMERACNOR6;CASH;;;6,81;;;;;;5;5200;35420
2025-09-12;AMER3F;BRAMERACNOR6;ODD LOT;;;6,79;;;;;;10;120;815,03
2025-09-12;AMZO34;BRAMZOBDR002;CASH;;;60,83;;;;;;15;468;28467,57
2025-09-12;ANIM3;BRANIMACNOR6;CASH;;;3,48;;;;;;8;13100;45606
2025-09-12;ARML3;BRARMLACNOR1;CASH;;;3,81;;;;;;6;2600;9910
2025-09-12;ARML3F;BRARMLACNOR1;ODD LOT;;;3,87;;;;;;1;17;65,79
2025-09-12;ARRI11;BRARRICTF009;CASH;;;6,53;;;;;;9;443;2891,53
2025-09-12;ASAI3;BRASAIACNOR0;CASH;;;9,87;;;;;;3;3700;36537
2025-09-12;ASAI3F;BRASAIACNOR0;ODD LOT;;;9,91;;;;;;5;66;654,08
2025-09-12;AURA33;BRAURABDR001;CASH;;;58,49;;;;;;14;371;21698,91
2025-09-12;AURE3;BRAUREACNOR9;CASH;;;10,71;;;;;;6;1200;12851
2025-09-12;AURE3F;BRAUREACNOR9;ODD LOT;;;10,73;;;;;;13;155;1663,09
2025-09-12;AURO11;BRAUROCTF001;CASH;;;103,50;;;;;;1;10;1035
2025-09-12;AUVP11;BRAUVPCTF000;CASH;;;101,98;;;;;;1;1;101,98
2025-09-12;AVGO34;BRAVGOBDR003;CASH;;;27,58;;;;;;1;20;551,6
2025-09-12;AZEV3;BRAZEVACNOR0;CASH;;;0,46;;;;;;16;26000;11960
2025-09-12;AZPL11;BRAZPLCTF000;CASH;;;7,64;;;;;;3;6;45,84
2025-09-12;AZTE3;BRAZTEACNOR4;CASH;;;0,46;;;;;;5;3000;1380
2025-09-12;AZUL11;BRAZULN01PR8;CASH;;;0,82;;;;;;1;200;164
2025-09-12;AZUL4;BRAZULACNPR4;CASH;;;1,28;;;;;;92;408500;521383
2025-09-12;AZUL4F;BRAZULACNPR4;ODD LOT;;;1,29;;;;;;6;162;208,28
2025-09-12;AZZA3;BRAZZAACNOR9;CASH;;;32,51;;;;;;7;2100;68275
2025-09-12;AZZA3F;BRAZZAACNOR9;ODD LOT;;;32,76;;;;;;2;33;1080,93
2025-09-12;B3SA3;BRB3SAACNOR6;CASH;;;12,99;;;;;;27;12400;161104
2025-09-12;B3SA3F;BRB3SAACNOR6;ODD LOT;;;12,97;;;;;;41;572;7420,8
2025-09-12;BABA34;BRBABABDR005;CASH;;;29,63;;;;;;1;1;29,63
2025-09-12;BBAS3;BRBBASACNOR3;CASH;;;22,33;;;;;;93;60200;1344436
2025-09-12;BBAS3F;BRBBASACNOR3;ODD LOT;;;22,32;;;;;;140;1406;31380,2
2025-09-12;BBDC3;BRBBDCACNOR1;CASH;;;14,42;;;;;;12;6100;87936
2025-09-12;BBDC3F;BRBBDCACNOR1;ODD LOT;;;14,42;;;;;;13;132;1903,72
2025-09-12;BBDC4;BRBBDCACNPR8;CASH;;;16,82;;;;;;61;35300;593830
2025-09-12;BBDC4F;BRBBDCACNPR8;ODD LOT;;;16,83;;;;;;22;195;3281,84
2025-09-12;BBFI11;BRBBFICTF006;CASH;;;350,10;;;;;;1;4;1400,4
2025-09-12;BBGO11;BRBBGOCTF002;CASH;;;63,45;;;;;;1;1;63,45
2025-09-12;BBIG11;BRBBIGCTF004;CASH;;;6,98;;;;;;5;353;2463,94
2025-09-12;BBOI11;BRBBOICTF008;CASH;;;9,60;;;;;;2;139;1334,4
2025-09-12;BBSE3;BRBBSEACNOR5;CASH;;;32,11;;;;;;39;7000;224781
2025-09-12;BBSE3F;BRBBSEACNOR5;ODD LOT;;;32,13;;;;;;192;2397;77017
2025-09-12;BCIA11;BRBCIACTF005;CASH;;;84,97;;;;;;4;4;339,88
2025-09-12;BCRI11;BRBCRICTF009;CASH;;;63,22;;;;;;3;7;442,54
2025-09-12;BDIF11;BRBDIFCTF002;CASH;;;76,30;;;;;;69;3624;276511,45
2025-09-12;BEEF11F;BRBEEFN03OR6;ODD LOT;;;2,97;;;;;;2;27;80,19
2025-09-12;BEEF3;BRBEEFACNOR6;CASH;;;6,64;;;;;;13;7000;46456
2025-09-12;BEEF3F;BRBEEFACNOR6;ODD LOT;;;6,64;;;;;;8;133;882,9
2025-09-12;BEES3;BRBEESACNOR9;CASH;;;8,17;;;;;;2;400;3269
2025-09-12;BEES3F;BRBEESACNOR9;ODD LOT;;;8,18;;;;;;7;38;310,84
2025-09-12;BERK34;BRBERKBDR002;CASH;;;131,50;;;;;;1;1;131,5
2025-09-12;BEST11;BRBESTCTF000;CASH;;;100,83;;;;;;1;2;201,66
2025-09-12;BGIF26;BRBMEFBGI7K6;AGRIBUSINESS;326,5;326,9;326,53;326,5;-0,24;327,3;;;18;24;2586193,5
